Tahun,Quarter,Malaysia,Kuala Lumpur,Selangor,Johor,Pulau Pinang,Negeri Sembilan,Perak,Melaka,Kedah,Pahang,Terengganu,Kelantan,Perlis,Sabah,Sarawak
2009,Q1," 172,036 "," 349,857 "," 212,860 "," 140,992 "," 244,082 "," 104,924 "," 101,046 "," 86,222 "," 94,774 "," 122,338 "," 98,141 "," 98,464 "," 76,963 "," 219,752 "," 195,590 "
2009,Q2," 175,808 "," 349,087 "," 219,963 "," 143,912 "," 255,146 "," 108,396 "," 98,375 "," 86,500 "," 96,829 "," 126,451 "," 98,731 "," 108,736 "," 81,461 "," 223,999 "," 195,785 "
2009,Q3," 179,409 "," 364,146 "," 226,059 "," 146,453 "," 263,807 "," 106,508 "," 98,996 "," 91,309 "," 97,005 "," 124,453 "," 104,921 "," 112,986 "," 86,901 "," 229,333 "," 184,626 "
2009,Q4," 178,402 "," 369,807 "," 230,847 "," 125,652 "," 261,951 "," 106,249 "," 102,311 "," 88,931 "," 98,075 "," 122,338 "," 107,030 "," 117,508 "," 90,713 "," 237,169 "," 197,268 "
2010,Q1," 178,880 "," 354,521 "," 233,516 "," 127,928 "," 261,708 "," 108,152 "," 101,128 "," 87,102 "," 100,183 "," 124,740 "," 105,609 "," 115,352 "," 86,340 "," 250,038 "," 190,388 "
2010,Q2," 189,412 "," 393,730 "," 245,457 "," 144,630 "," 271,364 "," 108,821 "," 103,156 "," 91,774 "," 103,963 "," 129,889 "," 113,865 "," 112,098 "," 87,425 "," 252,735 "," 193,344 "
2010,Q3," 191,055 "," 385,976 "," 252,272 "," 138,311 "," 273,868 "," 110,340 "," 105,240 "," 94,906 "," 103,543 "," 129,115 "," 111,458 "," 126,504 "," 95,129 "," 253,849 "," 203,589 "
2010,Q4," 193,481 "," 391,263 "," 261,917 "," 133,292 "," 278,959 "," 116,783 "," 107,243 "," 94,264 "," 105,077 "," 129,746 "," 118,935 "," 124,809 "," 87,425 "," 259,720 "," 213,663 "
2011,Q1," 199,318 "," 404,590 "," 268,302 "," 136,057 "," 278,963 "," 124,792 "," 111,923 "," 93,704 "," 103,902 "," 136,050 "," 114,800 "," 135,099 "," 94,869 "," 259,363 "," 209,942 "
2011,Q2," 205,378 "," 453,322 "," 281,136 "," 134,527 "," 298,784 "," 120,836 "," 113,961 "," 96,257 "," 114,157 "," 132,467 "," 127,672 "," 129,069 "," 98,433 "," 271,758 "," 202,696 "
2011,Q3," 210,482 "," 463,705 "," 279,910 "," 141,396 "," 304,090 "," 123,547 "," 115,756 "," 97,915 "," 110,960 "," 148,440 "," 127,185 "," 135,675 "," 102,703 "," 295,710 "," 214,642 "
2011,Q4," 215,631 "," 475,383 "," 291,944 "," 139,871 "," 300,826 "," 128,039 "," 119,691 "," 96,780 "," 112,388 "," 151,131 "," 137,710 "," 146,520 "," 104,630 "," 290,650 "," 212,656 "
2012,Q1," 223,425 "," 475,391 "," 305,071 "," 138,885 "," 321,953 "," 137,421 "," 124,620 "," 97,306 "," 111,842 "," 150,397 "," 134,977 "," 135,072 "," 89,217 "," 309,195 "," 214,140 "
2012,Q2," 231,139 "," 479,165 "," 325,322 "," 151,196 "," 314,852 "," 131,032 "," 123,874 "," 101,221 "," 113,127 "," 159,430 "," 136,175 "," 137,293 "," 108,778 "," 296,994 "," 222,300 "
2012,Q3," 239,812 "," 501,302 "," 336,402 "," 158,378 "," 341,570 "," 132,886 "," 128,315 "," 102,323 "," 117,672 "," 157,231 "," 136,784 "," 145,038 "," 101,644 "," 335,102 "," 230,578 "
2012,Q4," 245,359 "," 546,031 "," 322,229 "," 168,765 "," 340,849 "," 140,512 "," 131,981 "," 108,895 "," 116,157 "," 163,606 "," 137,045 "," 160,293 "," 104,258 "," 329,902 "," 244,453 "
2013,Q1," 244,300 "," 528,030 "," 322,335 "," 175,354 "," 352,544 "," 138,254 "," 133,296 "," 114,974 "," 126,441 "," 160,453 "," 144,620 "," 173,430 "," 103,425 "," 341,600 "," 245,411 "
2013,Q2," 252,729 "," 538,007 "," 336,966 "," 183,854 "," 366,158 "," 143,103 "," 134,410 "," 110,502 "," 123,374 "," 169,289 "," 149,956 "," 165,031 "," 109,074 "," 345,385 "," 249,870 "
2013,Q3," 262,925 "," 583,486 "," 351,386 "," 190,701 "," 377,196 "," 147,960 "," 138,292 "," 112,179 "," 123,794 "," 173,424 "," 156,655 "," 163,086 "," 108,683 "," 358,192 "," 256,821 "
2013,Q4," 267,687 "," 598,147 "," 358,276 "," 188,137 "," 381,415 "," 149,439 "," 136,290 "," 112,925 "," 125,851 "," 179,408 "," 153,005 "," 169,753 "," 117,392 "," 375,620 "," 250,750 "
2014,Q1," 269,683 "," 596,195 "," 362,365 "," 199,689 "," 390,848 "," 148,111 "," 143,723 "," 108,184 "," 127,466 "," 181,737 "," 159,040 "," 170,140 "," 122,845 "," 369,884 "," 257,309 "
2014,Q2," 282,752 "," 619,603 "," 367,318 "," 216,223 "," 406,826 "," 155,385 "," 148,710 "," 113,572 "," 127,202 "," 186,070 "," 161,814 "," 173,744 "," 117,850 "," 410,404 "," 262,841 "
2014,Q3," 290,619 "," 638,969 "," 379,176 "," 224,169 "," 418,812 "," 161,189 "," 151,452 "," 119,325 "," 127,550 "," 189,187 "," 164,738 "," 170,222 "," 122,942 "," 401,249 "," 268,684 "
2014,Q4," 293,488 "," 646,033 "," 380,156 "," 217,248 "," 422,489 "," 165,247 "," 149,004 "," 120,536 "," 133,741 "," 197,341 "," 163,446 "," 162,458 "," 125,100 "," 406,653 "," 269,021 "
2015,Q1," 293,572 "," 663,965 "," 387,750 "," 216,351 "," 420,349 "," 161,448 "," 155,577 "," 119,436 "," 134,872 "," 196,959 "," 162,620 "," 162,955 "," 131,473 "," 410,766 "," 272,689 "
2015,Q2," 300,062 "," 674,664 "," 399,739 "," 220,837 "," 426,947 "," 168,639 "," 160,060 "," 121,288 "," 136,828 "," 201,060 "," 166,259 "," 168,903 "," 126,337 "," 421,776 "," 280,199 "
2015,Q3," 309,722 "," 689,547 "," 411,628 "," 230,448 "," 445,143 "," 175,782 "," 163,892 "," 125,975 "," 136,135 "," 202,769 "," 168,095 "," 167,106 "," 127,239 "," 414,094 "," 288,180 "
2015,Q4," 311,948 "," 696,344 "," 414,161 "," 234,549 "," 449,159 "," 180,787 "," 160,801 "," 128,694 "," 140,373 "," 204,778 "," 170,837 "," 159,954 "," 128,539 "," 391,528 "," 280,774 "
2016,Q1," 316,104 "," 712,819 "," 420,742 "," 241,394 "," 438,217 "," 182,262 "," 161,867 "," 131,489 "," 142,901 "," 206,491 "," 171,130 "," 163,963 "," 130,584 "," 408,198 "," 284,859 "
2016,Q2," 324,354 "," 726,876 "," 436,482 "," 243,958 "," 441,597 "," 184,867 "," 166,238 "," 136,864 "," 146,116 "," 208,408 "," 173,378 "," 162,448 "," 128,162 "," 414,414 "," 293,330 "
2016,Q3," 331,363 "," 743,703 "," 449,342 "," 249,727 "," 455,494 "," 193,339 "," 173,586 "," 135,076 "," 146,644 "," 212,357 "," 176,385 "," 165,348 "," 129,341 "," 418,704 "," 296,860 "
2016,Q4F," 333,961 "," 758,806 "," 454,104 "," 252,804 "," 447,491 "," 194,308 "," 173,137 "," 140,806 "," 148,155 "," 212,743 "," 175,768 "," 161,594 "," 124,574 "," 420,588 "," 293,218 "
2017,Q1 ," 343,749 "," 777,808 "," 469,823 "," 264,601 "," 462,725 "," 197,916 "," 174,064 "," 141,559 "," 149,700 "," 212,626 "," 178,717 "," 165,352 "," 135,331 "," 421,498 "," 298,538 "
2017,Q2," 352,498 "," 805,995 "," 483,219 "," 267,610 "," 473,501 "," 203,128 "," 177,758 "," 142,525 "," 153,308 "," 220,617 "," 180,467 "," 167,089 "," 135,404 "," 429,276 "," 307,501 "
2017,Q3," 360,262 "," 829,287 "," 491,605 "," 279,498 "," 481,029 "," 207,863 "," 180,197 "," 145,162 "," 155,128 "," 222,947 "," 182,714 "," 167,646 "," 135,299 "," 437,679 "," 312,726 "
2017,Q4," 366,081 "," 834,241 "," 504,059 "," 282,989 "," 475,796 "," 215,494 "," 181,608 "," 151,738 "," 156,101 "," 219,149 "," 186,202 "," 169,561 "," 135,648 "," 434,995 "," 324,087 "
2018,Q1," 371,331 "," 864,465 "," 508,845 "," 289,084 "," 472,211 "," 220,170 "," 184,854 "," 153,852 "," 159,779 "," 217,827 "," 187,683 "," 173,646 "," 138,760 "," 436,132 "," 331,551 "
2018,Q2," 371,805 "," 846,713 "," 511,164 "," 290,989 "," 467,969 "," 221,854 "," 187,274 "," 154,353 "," 162,508 "," 215,242 "," 190,023 "," 169,136 "," 143,252 "," 439,104 "," 331,782 "
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
